latitude,longitude,displacement (mm),coherence,elevation (m)
12.413,40.302,-22.37,0.55,606.71
12.413,40.311,-15.61,0.56,605.09
12.413,40.318,-14.80,0.65,603.00
12.413,40.326,-7.31,0.70,613.11
12.413,40.334,-9.56,0.66,584.20
12.413,40.342,-22.80,0.66,588.08
12.413,40.351,-8.62,0.66,772.69
12.413,40.358,-1.65,0.62,870.24
12.413,40.366,10.68,0.64,904.72
12.413,40.375,16.80,0.56,897.78
12.413,40.382,16.87,0.52,890.76
12.413,40.390,19.34,0.51,836.57
12.413,40.398,22.83,0.51,867.27
12.413,40.406,40.82,0.52,857.28
12.413,40.415,42.64,0.61,628.25
12.413,40.422,40.63,0.62,528.03
12.413,40.430,47.67,0.72,502.75
12.413,40.439,54.52,0.75,497.78
12.413,40.446,60.09,0.73,492.30
12.413,40.454,66.71,0.80,484.44
12.413,40.462,68.57,0.77,481.78
12.413,40.470,67.04,0.82,481.93
12.413,40.479,69.70,0.80,481.51
12.413,40.486,73.44,0.82,461.07
12.413,40.494,74.35,0.83,441.65
12.413,40.503,72.72,0.83,431.08
12.413,40.510,73.63,0.82,428.08
12.413,40.518,76.62,0.84,433.10
12.413,40.526,69.65,0.83,420.02
12.413,40.534,71.78,0.84,421.54
12.413,40.543,55.98,0.87,379.30
12.413,40.550,50.60,0.83,395.26
12.413,40.558,34.58,0.87,395.02
12.413,40.567,28.73,0.87,401.34
12.413,40.574,20.73,0.83,417.85
12.413,40.582,33.39,0.83,434.26
12.413,40.590,42.05,0.72,441.80
12.413,40.598,45.89,0.75,441.57
12.413,40.607,45.69,0.68,434.69
12.413,40.614,43.24,0.67,431.84
12.413,40.622,45.78,0.81,429.37
12.413,40.631,43.90,0.71,402.06
12.413,40.638,39.48,0.77,398.11
12.413,40.646,35.47,0.78,399.96
12.413,40.654,24.98,0.82,403.33
12.413,40.662,22.16,0.78,458.97
12.420,40.302,-21.93,0.52,603.92
12.420,40.311,-11.27,0.60,615.84
12.420,40.318,-13.62,0.70,592.96
12.420,40.326,-5.89,0.70,599.68
12.420,40.334,-8.38,0.68,569.97
12.420,40.342,-14.70,0.67,572.95
12.420,40.351,-1.90,0.69,664.72
12.420,40.358,10.63,0.62,731.83
12.420,40.366,17.68,0.68,723.77
12.420,40.375,18.61,0.63,728.87
12.420,40.382,21.30,0.55,730.79
12.420,40.390,NaN,0.54,788.56
12.420,40.398,29.16,0.52,832.26
12.420,40.406,44.92,0.59,744.66
12.420,40.415,44.44,0.69,569.49
12.420,40.422,47.56,0.73,553.37
12.420,40.430,50.06,0.66,486.97
12.420,40.439,52.45,0.73,488.51
12.420,40.446,56.33,0.68,480.24
12.420,40.454,64.50,0.74,478.03
12.420,40.462,67.28,0.82,470.02
12.420,40.470,66.55,0.83,464.05
12.420,40.479,68.53,0.83,458.17
12.420,40.486,70.35,0.82,444.35
12.420,40.494,71.99,0.84,432.52
12.420,40.503,73.13,0.83,422.89
12.420,40.510,73.83,0.83,419.53
12.420,40.518,73.93,0.83,413.09
12.420,40.526,69.85,0.83,416.01
12.420,40.534,62.46,0.86,396.94
12.420,40.543,49.73,0.83,392.42
12.420,40.550,42.50,0.85,391.41
12.420,40.558,32.58,0.88,387.43
12.420,40.567,19.91,0.83,397.40
12.420,40.574,19.96,0.82,396.53
12.420,40.582,34.53,0.79,433.47
12.420,40.590,39.40,0.81,436.75
12.420,40.598,41.01,0.76,435.39
12.420,40.607,41.95,0.70,423.74
12.420,40.614,42.79,0.73,417.85
12.420,40.622,42.90,0.58,410.93
12.420,40.631,38.38,0.50,397.67
12.420,40.638,33.37,0.55,394.76
12.420,40.646,28.05,0.73,395.56
12.420,40.654,22.00,0.78,427.21
12.420,40.662,14.85,0.79,454.46
12.429,40.302,-11.12,0.79,598.97
12.429,40.311,-3.58,0.75,600.05
12.429,40.318,-4.76,0.77,577.88
12.429,40.326,-5.91,0.76,552.84
12.429,40.334,-4.77,0.72,542.21
12.429,40.342,-2.14,0.68,534.45
12.429,40.351,2.79,0.65,519.04
12.429,40.358,11.06,0.65,569.77
12.429,40.366,16.33,0.63,596.30
12.429,40.375,22.89,0.58,609.24
12.429,40.382,20.43,0.60,620.20
12.429,40.390,31.73,0.62,686.55
12.429,40.398,36.71,0.59,641.64
12.429,40.406,48.98,0.65,601.66
12.429,40.415,45.56,0.73,511.39
12.429,40.422,48.94,0.72,494.46
12.429,40.430,49.09,0.68,453.61
12.429,40.439,52.50,0.78,467.06
12.429,40.446,54.02,0.78,467.00
12.429,40.454,61.68,0.80,467.26
12.429,40.462,65.41,0.81,454.43
12.429,40.470,66.10,0.80,446.59
12.429,40.479,69.06,0.82,436.01
12.429,40.486,69.91,0.83,429.12
12.429,40.494,70.85,0.82,422.62
12.429,40.503,71.57,0.82,411.26
12.429,40.510,71.88,0.84,405.61
12.429,40.518,74.13,0.83,409.72
12.429,40.526,68.51,0.86,397.20
12.429,40.534,57.08,0.87,391.64
12.429,40.543,48.02,0.86,391.43
12.429,40.550,41.90,0.87,395.41
12.429,40.558,34.74,0.85,393.34
12.429,40.567,19.94,0.83,401.63
12.429,40.574,31.87,0.79,427.92
12.429,40.582,35.30,0.79,431.51
12.429,40.590,34.52,0.82,425.88
12.429,40.598,34.25,0.77,429.92
12.429,40.607,35.64,0.77,423.04
12.429,40.614,38.62,0.82,417.01
12.429,40.622,36.43,0.62,399.71
12.429,40.631,30.93,0.37,393.16
12.429,40.638,22.65,0.42,392.00
12.429,40.646,19.20,0.77,405.68
12.429,40.654,15.83,0.82,425.22
12.429,40.662,6.77,0.80,437.08
12.436,40.302,3.89,0.62,592.17
12.436,40.311,-1.76,0.78,520.14
12.436,40.318,-1.74,0.81,534.01
12.436,40.326,-4.42,0.77,533.69
12.436,40.334,-3.88,0.76,515.87
12.436,40.342,9.26,0.72,528.53
12.436,40.351,11.68,0.65,438.40
12.436,40.358,10.25,0.66,443.99
12.436,40.366,25.00,0.61,495.35
12.436,40.375,22.66,0.58,426.53
12.436,40.382,25.94,0.63,483.32
12.436,40.390,38.32,0.64,518.68
12.436,40.398,40.98,0.61,536.65
12.436,40.406,47.99,0.65,509.64
12.436,40.415,46.68,0.74,472.78
12.436,40.422,47.59,0.73,460.64
12.436,40.430,49.21,0.68,432.91
12.436,40.439,52.18,0.80,446.30
12.436,40.446,56.23,0.80,457.31
12.436,40.454,59.79,0.81,453.51
12.436,40.462,61.44,0.79,448.44
12.436,40.470,63.47,0.82,438.95
12.436,40.479,67.70,0.82,431.59
12.436,40.486,69.80,0.83,413.50
12.436,40.494,70.00,0.82,400.98
12.436,40.503,70.63,0.84,399.56
12.436,40.510,69.84,0.81,394.95
12.436,40.518,68.97,0.82,406.58
12.436,40.526,60.61,0.85,385.34
12.436,40.534,54.83,0.88,382.38
12.436,40.543,48.20,0.87,389.83
12.436,40.550,40.87,0.88,381.08
12.436,40.558,36.30,0.82,398.66
12.436,40.567,25.34,0.84,392.52
12.436,40.574,32.91,0.76,428.88
12.436,40.582,32.03,0.79,430.65
12.436,40.590,31.70,0.85,433.21
12.436,40.598,30.32,0.79,431.69
12.436,40.607,32.12,0.81,426.34
12.436,40.614,35.89,0.78,421.12
12.436,40.622,29.53,0.81,393.71
12.436,40.631,25.61,0.59,400.42
12.436,40.638,16.96,0.60,391.82
12.436,40.646,10.82,0.78,402.36
12.436,40.654,3.83,0.81,417.23
12.436,40.662,0.28,0.76,427.92
12.445,40.302,5.80,0.70,467.43
12.445,40.311,0.46,0.80,453.38
12.445,40.318,-0.36,0.81,466.73
12.445,40.326,-0.58,0.80,489.32
12.445,40.334,7.47,0.77,474.67
12.445,40.342,9.93,0.72,428.55
12.445,40.351,11.35,0.58,398.08
12.445,40.358,11.91,0.48,398.38
12.445,40.366,18.14,0.41,401.46
12.445,40.375,26.08,0.48,408.43
12.445,40.382,37.18,0.59,414.55
12.445,40.390,43.89,0.68,430.78
12.445,40.398,46.97,0.68,459.17
12.445,40.406,47.14,0.71,480.00
12.445,40.415,44.85,0.57,433.93
12.445,40.422,44.55,0.44,426.79
12.445,40.430,47.96,0.53,425.29
12.445,40.439,55.19,0.81,427.18
12.445,40.446,58.98,0.83,423.93
12.445,40.454,60.61,0.81,432.20
12.445,40.462,62.43,0.82,425.39
12.445,40.470,62.79,0.83,403.74
12.445,40.479,67.89,0.83,404.15
12.445,40.486,69.96,0.83,389.57
12.445,40.494,70.31,0.83,385.81
12.445,40.503,66.85,0.83,386.32
12.445,40.510,67.62,0.80,396.91
12.445,40.518,62.52,0.84,392.84
12.445,40.526,57.52,0.86,389.74
12.445,40.534,53.02,0.87,381.20
12.445,40.543,47.75,0.87,381.20
12.445,40.550,39.96,0.88,384.61
12.445,40.558,30.29,0.83,392.62
12.445,40.567,26.64,0.78,427.26
12.445,40.574,30.70,0.81,426.89
12.445,40.582,29.94,0.83,433.61
12.445,40.590,28.66,0.84,435.90
12.445,40.598,26.69,0.86,428.24
12.445,40.607,26.63,0.86,399.25
12.445,40.614,26.90,0.85,394.99
12.445,40.622,26.01,0.81,385.17
12.445,40.631,19.67,0.73,380.17
12.445,40.638,17.06,0.70,406.40
12.445,40.646,4.25,0.72,393.62
12.445,40.654,0.80,0.83,396.00
12.445,40.662,-1.51,0.79,409.33
12.452,40.302,3.44,0.76,434.75
12.452,40.311,1.20,0.76,427.85
12.452,40.318,-2.50,0.84,441.01
12.452,40.326,5.65,0.82,451.73
12.452,40.334,12.00,0.78,433.61
12.452,40.342,13.41,0.75,407.64
12.452,40.351,14.21,0.45,391.64
12.452,40.358,21.97,0.42,393.30
12.452,40.366,25.28,0.58,399.36
12.452,40.375,31.20,0.64,408.70
12.452,40.382,42.04,0.69,417.06
12.452,40.390,47.14,0.72,429.88
12.452,40.398,51.56,0.68,451.79
12.452,40.406,51.74,0.71,448.65
12.452,40.415,51.27,0.72,435.90
12.452,40.422,44.47,0.47,436.70
12.452,40.430,46.68,0.47,422.72
12.452,40.439,63.07,0.80,434.44
12.452,40.446,66.25,0.81,415.99
12.452,40.454,68.19,0.82,402.56
12.452,40.462,65.25,0.83,391.31
12.452,40.470,65.52,0.83,386.25
12.452,40.479,67.50,0.83,373.99
12.452,40.486,69.36,0.82,375.29
12.452,40.494,66.80,0.84,374.97
12.452,40.503,65.08,0.83,397.17
12.452,40.510,63.08,0.82,389.57
12.452,40.518,61.10,0.84,404.59
12.452,40.526,56.94,0.86,388.64
12.452,40.534,52.96,0.87,386.12
12.452,40.543,43.54,0.86,380.68
12.452,40.550,33.34,0.86,384.25
12.452,40.558,20.05,0.83,393.25
12.452,40.567,20.46,0.78,425.94
12.452,40.574,21.44,0.82,432.05
12.452,40.582,22.26,0.81,424.32
12.452,40.590,21.15,0.83,421.72
12.452,40.598,19.99,0.85,416.95
12.452,40.607,18.59,0.86,398.49
12.452,40.614,17.73,0.78,381.16
12.452,40.622,18.51,0.76,381.48
12.452,40.631,14.46,0.80,390.23
12.452,40.638,12.24,0.69,400.61
12.452,40.646,5.14,0.58,394.84
12.452,40.654,-2.28,0.58,389.04
12.452,40.662,-5.06,0.72,389.87
12.461,40.302,0.90,0.79,390.43
12.461,40.311,0.04,0.71,398.59
12.461,40.318,0.83,0.83,405.42
12.461,40.326,5.68,0.80,411.72
12.461,40.334,9.38,0.78,391.12
12.461,40.342,11.81,0.58,391.40
12.461,40.351,19.75,0.48,386.07
12.461,40.358,23.49,0.66,388.31
12.461,40.366,27.03,0.74,396.17
12.461,40.375,35.52,0.73,404.49
12.461,40.382,44.24,0.71,414.90
12.461,40.390,49.73,0.76,422.62
12.461,40.398,52.26,0.78,433.44
12.461,40.406,54.67,0.83,440.36
12.461,40.415,56.41,0.85,432.83
12.461,40.422,56.99,0.68,442.43
12.461,40.430,56.35,0.63,416.54
12.461,40.439,66.37,0.78,417.01
12.461,40.446,70.91,0.80,405.96
12.461,40.454,69.38,0.82,396.20
12.461,40.462,62.64,0.83,379.11
12.461,40.470,62.80,0.78,371.31
12.461,40.479,64.85,0.82,364.16
12.461,40.486,66.05,0.82,371.93
12.461,40.494,61.31,0.83,370.87
12.461,40.503,61.62,0.84,389.96
12.461,40.510,59.82,0.84,415.41
12.461,40.518,58.68,0.84,393.57
12.461,40.526,56.14,0.85,393.36
12.461,40.534,50.20,0.87,384.72
12.461,40.543,31.77,0.86,377.92
12.461,40.550,14.86,0.85,382.82
12.461,40.558,10.92,0.83,402.80
12.461,40.567,16.64,0.81,418.30
12.461,40.574,16.20,0.83,430.06
12.461,40.582,17.00,0.82,432.49
12.461,40.590,17.27,0.85,421.86
12.461,40.598,17.22,0.86,404.12
12.461,40.607,15.98,0.85,390.95
12.461,40.614,14.35,0.80,383.99
12.461,40.622,12.92,0.82,371.45
12.461,40.631,9.97,0.84,376.35
12.461,40.638,6.31,0.84,389.97
12.461,40.646,1.14,0.75,383.19
12.461,40.654,-7.11,0.45,384.96
12.461,40.662,-12.66,0.44,385.48
12.468,40.302,-0.80,0.59,378.87
12.468,40.311,-1.84,0.69,380.68
12.468,40.318,-0.45,0.83,379.64
12.468,40.326,2.27,0.74,376.21
12.468,40.334,7.29,0.74,381.25
12.468,40.342,15.64,0.52,379.20
12.468,40.351,22.73,0.68,380.88
12.468,40.358,26.32,0.81,391.36
12.468,40.366,35.40,0.79,403.43
12.468,40.375,40.41,0.77,400.30
12.468,40.382,45.52,0.78,404.76
12.468,40.390,48.75,0.81,407.66
12.468,40.398,54.48,0.83,421.09
12.468,40.406,56.62,0.84,427.37
12.468,40.415,61.33,0.84,421.30
12.468,40.422,65.53,0.78,418.15
12.468,40.430,65.60,0.72,397.28
12.468,40.439,73.72,0.75,405.01
12.468,40.446,76.18,0.78,397.80
12.468,40.454,72.22,0.81,394.79
12.468,40.462,60.43,0.79,379.18
12.468,40.470,58.01,0.67,362.75
12.468,40.479,65.16,0.78,358.95
12.468,40.486,63.26,0.83,370.35
12.468,40.494,52.43,0.82,366.88
12.468,40.503,49.13,0.83,413.90
12.468,40.510,56.43,0.85,442.10
12.468,40.518,53.28,0.83,423.43
12.468,40.526,52.38,0.83,407.13
12.468,40.534,42.07,0.83,380.78
12.468,40.543,23.30,0.87,380.20
12.468,40.550,6.42,0.82,381.31
12.468,40.558,12.78,0.82,411.15
12.468,40.567,15.93,0.83,418.74
12.468,40.574,15.40,0.82,414.50
12.468,40.582,19.44,0.83,420.71
12.468,40.590,20.98,0.84,411.45
12.468,40.598,19.14,0.85,398.82
12.468,40.607,15.05,0.85,380.95
12.468,40.614,11.72,0.82,381.21
12.468,40.622,6.70,0.81,382.10
12.468,40.631,-1.57,0.76,378.74
12.468,40.638,-5.77,0.69,379.48
12.468,40.646,-4.76,0.57,380.87
12.468,40.654,-12.15,0.46,380.93
12.468,40.662,-14.94,0.50,381.30
12.477,40.302,-7.22,0.18,375.06
12.477,40.311,-6.28,0.59,373.62
12.477,40.318,-4.08,0.63,370.62
12.477,40.326,0.67,0.50,367.22
12.477,40.334,7.05,0.35,369.03
12.477,40.342,15.85,0.49,371.69
12.477,40.351,23.45,0.79,375.02
12.477,40.358,32.09,0.82,379.24
12.477,40.366,41.33,0.73,392.08
12.477,40.375,46.02,0.77,397.30
12.477,40.382,47.80,0.82,395.80
12.477,40.390,NaN,0.85,407.90
12.477,40.398,58.42,0.81,409.68
12.477,40.406,60.37,0.79,414.67
12.477,40.415,66.36,0.83,408.31
12.477,40.422,71.17,0.78,409.15
12.477,40.430,71.94,0.70,385.66
12.477,40.439,80.83,0.79,388.20
12.477,40.446,80.40,0.78,377.75
12.477,40.454,75.43,0.79,377.09
12.477,40.462,59.25,0.58,363.95
12.477,40.470,58.68,0.38,358.49
12.477,40.479,67.55,0.73,359.98
12.477,40.486,55.24,0.76,370.68
12.477,40.494,46.49,0.79,411.05
12.477,40.503,47.43,0.80,434.45
12.477,40.510,53.49,0.84,431.21
12.477,40.518,43.34,0.82,393.52
12.477,40.526,42.74,0.82,402.92
12.477,40.534,32.38,0.82,377.96
12.477,40.543,18.17,0.84,379.95
12.477,40.550,9.60,0.79,400.84
12.477,40.558,12.97,0.81,417.06
12.477,40.567,14.37,0.81,431.05
12.477,40.574,15.48,0.80,434.66
12.477,40.582,18.91,0.81,418.72
12.477,40.590,18.72,0.84,405.79
12.477,40.598,16.67,0.84,395.12
12.477,40.607,14.48,0.83,391.60
12.477,40.614,7.28,0.84,369.54
12.477,40.622,-3.06,0.76,375.64
12.477,40.631,-20.47,0.61,379.04
12.477,40.638,-20.09,0.66,381.58
12.477,40.646,-12.37,0.65,377.94
12.477,40.654,-16.25,0.42,377.08
12.477,40.662,-20.16,0.41,376.47
12.484,40.302,0.74,0.15,370.49
12.484,40.311,-17.67,0.47,371.05
12.484,40.318,-17.41,0.11,368.49
12.484,40.326,7.27,0.12,367.40
12.484,40.334,15.98,0.35,366.93
12.484,40.342,18.93,0.59,366.20
12.484,40.351,25.27,0.74,371.33
12.484,40.358,35.11,0.79,379.62
12.484,40.366,42.88,0.82,389.99
12.484,40.375,48.74,0.80,395.26
12.484,40.382,51.12,0.80,393.19
12.484,40.390,NaN,0.79,390.36
12.484,40.398,61.03,0.77,392.44
12.484,40.406,64.84,0.73,399.67
12.484,40.415,68.86,0.80,394.11
12.484,40.422,73.02,0.73,396.02
12.484,40.430,68.76,0.34,382.96
12.484,40.439,80.25,0.59,379.89
12.484,40.446,81.00,0.66,372.22
12.484,40.454,75.83,0.67,366.14
12.484,40.462,39.07,0.15,357.42
12.484,40.470,44.16,0.12,358.23
12.484,40.479,62.10,0.53,358.09
12.484,40.486,48.50,0.76,368.58
12.484,40.494,48.13,0.78,423.94
12.484,40.503,48.32,0.80,447.36
12.484,40.510,44.75,0.83,462.47
12.484,40.518,36.22,0.83,412.09
12.484,40.526,37.04,0.82,411.52
12.484,40.534,24.45,0.84,378.72
12.484,40.543,16.58,0.80,395.73
12.484,40.550,11.14,0.83,403.35
12.484,40.558,14.14,0.83,422.45
12.484,40.567,12.76,0.84,433.68
12.484,40.574,15.13,0.84,441.99
12.484,40.582,17.58,0.82,426.97
12.484,40.590,17.02,0.83,408.24
12.484,40.598,11.21,0.83,396.84
12.484,40.607,9.22,0.83,387.03
12.484,40.614,3.17,0.82,383.26
12.484,40.622,-3.34,0.80,377.18
12.484,40.631,-8.87,0.78,381.48
12.484,40.638,-14.62,0.73,382.91
12.484,40.646,-16.31,0.54,377.84
12.484,40.654,-17.42,0.41,373.74
12.484,40.662,-20.64,0.37,373.19
12.493,40.302,NaN,0.12,367.13
12.493,40.311,-8.25,0.18,369.07
12.493,40.318,-2.00,0.16,368.59
12.493,40.326,NaN,0.13,365.63
12.493,40.334,7.77,0.16,365.06
12.493,40.342,21.25,0.48,364.09
12.493,40.351,28.50,0.71,363.98
12.493,40.358,37.63,0.79,369.56
12.493,40.366,46.17,0.82,381.63
12.493,40.375,52.84,0.77,379.73
12.493,40.382,55.05,0.71,379.94
12.493,40.390,56.19,0.54,388.22
12.493,40.398,62.97,0.76,392.48
12.493,40.406,68.85,0.71,404.52
12.493,40.415,70.52,0.62,394.42
12.493,40.422,74.41,0.57,393.26
12.493,40.430,74.99,0.27,384.87
12.493,40.439,73.47,0.31,379.01
12.493,40.446,78.94,0.65,378.92
12.493,40.454,68.12,0.38,365.97
12.493,40.462,NaN,0.10,359.52
12.493,40.470,34.67,0.10,357.22
12.493,40.479,60.09,0.57,371.47
12.493,40.486,50.78,0.79,367.19
12.493,40.494,47.00,0.79,410.68
12.493,40.503,49.65,0.80,461.78
12.493,40.510,44.25,0.82,454.40
12.493,40.518,29.42,0.82,423.14
12.493,40.526,33.01,0.81,429.16
12.493,40.534,17.08,0.76,383.94
12.493,40.543,8.15,0.79,399.35
12.493,40.550,11.49,0.83,451.07
12.493,40.558,10.60,0.77,432.43
12.493,40.567,10.84,0.79,429.14
12.493,40.574,16.53,0.81,436.96
12.493,40.582,16.15,0.82,419.99
12.493,40.590,13.87,0.80,400.70
12.493,40.598,7.51,0.81,392.76
12.493,40.607,2.23,0.80,380.63
12.493,40.614,-3.72,0.76,368.66
12.493,40.622,-5.98,0.81,366.60
12.493,40.631,-9.56,0.79,370.91
12.493,40.638,-14.34,0.79,372.81
12.493,40.646,-16.39,0.74,375.23
12.493,40.654,-18.55,0.51,369.34
12.493,40.662,-22.58,0.39,369.73
12.500,40.302,18.24,0.13,368.91
12.500,40.311,13.37,0.15,365.81
12.500,40.318,NaN,0.19,365.71
12.500,40.326,4.36,0.14,364.26
12.500,40.334,-12.65,0.16,362.95
12.500,40.342,19.52,0.40,361.89
12.500,40.351,32.40,0.70,362.08
12.500,40.358,40.28,0.80,367.92
12.500,40.366,47.98,0.78,374.62
12.500,40.375,56.07,0.70,372.45
12.500,40.382,59.86,0.72,381.45
12.500,40.390,62.98,0.74,395.51
12.500,40.398,68.86,0.64,400.89
12.500,40.406,71.64,0.68,400.82
12.500,40.415,72.96,0.42,398.02
12.500,40.422,77.53,0.62,400.14
