latitude,longitude,displacement (mm),coherence,elevation (m)
12.413,40.302,-83.05,0.52,606.71
12.413,40.311,-77.19,0.57,605.09
12.413,40.318,-70.21,0.62,603.00
12.413,40.326,-64.74,0.73,613.11
12.413,40.334,-62.69,0.65,584.20
12.413,40.342,-56.70,0.58,588.08
12.413,40.351,-36.76,0.61,772.69
12.413,40.358,-18.01,0.59,870.24
12.413,40.366,-1.34,0.63,904.72
12.413,40.375,5.71,0.58,897.78
12.413,40.382,10.37,0.52,890.76
12.413,40.390,6.31,0.51,836.57
12.413,40.398,0.37,0.52,867.27
12.413,40.406,11.76,0.55,857.28
12.413,40.415,13.45,0.65,628.25
12.413,40.422,1.10,0.65,528.03
12.413,40.430,-1.09,0.71,502.75
12.413,40.439,2.54,0.75,497.78
12.413,40.446,6.85,0.74,492.30
12.413,40.454,13.81,0.80,484.44
12.413,40.462,15.57,0.76,481.78
12.413,40.470,19.77,0.82,481.93
12.413,40.479,28.03,0.80,481.51
12.413,40.486,36.01,0.83,461.07
12.413,40.494,41.15,0.82,441.65
12.413,40.503,45.00,0.81,431.08
12.413,40.510,50.60,0.80,428.08
12.413,40.518,58.33,0.83,433.10
12.413,40.526,62.97,0.81,420.02
12.413,40.534,69.11,0.83,421.54
12.413,40.543,71.40,0.86,379.30
12.413,40.550,76.99,0.82,395.26
12.413,40.558,77.38,0.84,395.02
12.413,40.567,81.70,0.86,401.34
12.413,40.574,83.34,0.82,417.85
12.413,40.582,97.29,0.80,434.26
12.413,40.590,113.94,0.69,441.80
12.413,40.598,128.53,0.73,441.57
12.413,40.607,135.23,0.69,434.69
12.413,40.614,139.40,0.65,431.84
12.413,40.622,146.37,0.80,429.37
12.413,40.631,152.02,0.71,402.06
12.413,40.638,158.17,0.77,398.11
12.413,40.646,163.41,0.77,399.96
12.413,40.654,165.88,0.79,403.33
12.413,40.662,172.14,0.74,458.97
12.420,40.302,-85.13,0.49,603.92
12.420,40.311,-73.08,0.60,615.84
12.420,40.318,-67.29,0.69,592.96
12.420,40.326,-61.11,0.70,599.68
12.420,40.334,-55.48,0.68,569.97
12.420,40.342,-47.80,0.64,572.95
12.420,40.351,-30.23,0.66,664.72
12.420,40.358,-9.11,0.63,731.83
12.420,40.366,3.48,0.67,723.77
12.420,40.375,4.67,0.63,728.87
12.420,40.382,3.37,0.53,730.79
12.420,40.390,3.08,0.53,788.56
12.420,40.398,8.31,0.53,832.26
12.420,40.406,13.86,0.65,744.66
12.420,40.415,4.93,0.71,569.49
12.420,40.422,0.35,0.78,553.37
12.420,40.430,0.57,0.66,486.97
12.420,40.439,3.77,0.73,488.51
12.420,40.446,7.11,0.69,480.24
12.420,40.454,11.40,0.71,478.03
12.420,40.462,14.44,0.81,470.02
12.420,40.470,19.19,0.81,464.05
12.420,40.479,24.59,0.83,458.17
12.420,40.486,30.57,0.82,444.35
12.420,40.494,38.34,0.83,432.52
12.420,40.503,46.87,0.82,422.89
12.420,40.510,52.74,0.82,419.53
12.420,40.518,59.64,0.82,413.09
12.420,40.526,65.67,0.81,416.01
12.420,40.534,72.15,0.85,396.94
12.420,40.543,75.34,0.82,392.42
12.420,40.550,77.88,0.83,391.41
12.420,40.558,79.17,0.87,387.43
12.420,40.567,81.84,0.81,397.40
12.420,40.574,87.64,0.81,396.53
12.420,40.582,103.20,0.77,433.47
12.420,40.590,115.12,0.78,436.75
12.420,40.598,127.60,0.76,435.39
12.420,40.607,135.18,0.69,423.74
12.420,40.614,140.63,0.73,417.85
12.420,40.622,144.70,0.62,410.93
12.420,40.631,148.81,0.50,397.67
12.420,40.638,154.74,0.51,394.76
12.420,40.646,158.16,0.66,395.56
12.420,40.654,161.90,0.76,427.21
12.420,40.662,165.90,0.76,454.46
12.429,40.302,-77.21,0.77,598.97
12.429,40.311,-69.73,0.77,600.05
12.429,40.318,-66.28,0.78,577.88
12.429,40.326,-59.05,0.77,552.84
12.429,40.334,-50.63,0.73,542.21
12.429,40.342,-40.39,0.67,534.45
12.429,40.351,-29.29,0.63,519.04
12.429,40.358,-15.64,0.65,569.77
12.429,40.366,-2.85,0.62,596.30
12.429,40.375,-0.16,0.63,609.24
12.429,40.382,0.66,0.61,620.20
12.429,40.390,-2.02,0.62,686.55
12.429,40.398,3.96,0.61,641.64
12.429,40.406,3.28,0.69,601.66
12.429,40.415,-2.14,0.76,511.39
12.429,40.422,0.26,0.75,494.46
12.429,40.430,2.85,0.67,453.61
12.429,40.439,6.39,0.79,467.06
12.429,40.446,7.07,0.77,467.00
12.429,40.454,12.42,0.81,467.26
12.429,40.462,15.77,0.81,454.43
12.429,40.470,21.22,0.80,446.59
12.429,40.479,27.79,0.81,436.01
12.429,40.486,31.14,0.81,429.12
12.429,40.494,39.10,0.81,422.62
12.429,40.503,47.60,0.80,411.26
12.429,40.510,55.96,0.82,405.61
12.429,40.518,63.48,0.82,409.72
12.429,40.526,71.07,0.86,397.20
12.429,40.534,73.17,0.86,391.64
12.429,40.543,76.54,0.84,391.43
12.429,40.550,77.06,0.86,395.41
12.429,40.558,77.13,0.84,393.34
12.429,40.567,78.66,0.82,401.63
12.429,40.574,93.24,0.77,427.92
12.429,40.582,106.34,0.78,431.51
12.429,40.590,116.07,0.80,425.88
12.429,40.598,124.41,0.77,429.92
12.429,40.607,130.83,0.74,423.04
12.429,40.614,137.56,0.82,417.01
12.429,40.622,143.45,0.62,399.71
12.429,40.631,146.48,0.37,393.16
12.429,40.638,149.26,0.38,392.00
12.429,40.646,155.44,0.71,405.68
12.429,40.654,159.88,0.80,425.22
12.429,40.662,160.71,0.78,437.08
12.436,40.302,-74.73,0.63,592.17
12.436,40.311,-69.24,0.78,520.14
12.436,40.318,-65.06,0.82,534.01
12.436,40.326,-58.28,0.78,533.69
12.436,40.334,-48.16,0.77,515.87
12.436,40.342,-35.03,0.74,528.53
12.436,40.351,-23.92,0.65,438.40
12.436,40.358,-16.12,0.67,443.99
12.436,40.366,-0.95,0.65,495.35
12.436,40.375,-6.11,0.59,426.53
12.436,40.382,-5.32,0.66,483.32
12.436,40.390,-3.51,0.65,518.68
12.436,40.398,-7.07,0.64,536.65
12.436,40.406,-5.55,0.67,509.64
12.436,40.415,-8.32,0.76,472.78
12.436,40.422,-4.40,0.75,460.64
12.436,40.430,0.92,0.66,432.91
12.436,40.439,7.93,0.77,446.30
12.436,40.446,11.53,0.79,457.31
12.436,40.454,14.83,0.81,453.51
12.436,40.462,17.96,0.78,448.44
12.436,40.470,25.45,0.82,438.95
12.436,40.479,30.76,0.82,431.59
12.436,40.486,36.06,0.83,413.50
12.436,40.494,42.30,0.82,400.98
12.436,40.503,49.73,0.82,399.56
12.436,40.510,58.88,0.79,394.95
12.436,40.518,68.47,0.80,406.58
12.436,40.526,73.67,0.84,385.34
12.436,40.534,78.00,0.86,382.38
12.436,40.543,79.99,0.85,389.83
12.436,40.550,78.65,0.85,381.08
12.436,40.558,80.97,0.81,398.66
12.436,40.567,80.26,0.83,392.52
12.436,40.574,95.66,0.75,428.88
12.436,40.582,106.17,0.77,430.65
12.436,40.590,117.82,0.83,433.21
12.436,40.598,124.22,0.78,431.69
12.436,40.607,128.32,0.80,426.34
12.436,40.614,134.16,0.79,421.12
12.436,40.622,136.11,0.78,393.71
12.436,40.631,142.59,0.61,400.42
12.436,40.638,148.01,0.54,391.82
12.436,40.646,155.17,0.75,402.36
12.436,40.654,155.93,0.78,417.23
12.436,40.662,158.51,0.75,427.92
12.445,40.302,-69.36,0.73,467.43
12.445,40.311,-70.12,0.78,453.38
12.445,40.318,-61.95,0.81,466.73
12.445,40.326,-53.58,0.81,489.32
12.445,40.334,-39.68,0.80,474.67
12.445,40.342,-31.29,0.76,428.55
12.445,40.351,-28.31,0.62,398.08
12.445,40.358,-21.42,0.51,398.38
12.445,40.366,-17.98,0.44,401.46
12.445,40.375,-15.98,0.47,408.43
12.445,40.382,-12.03,0.59,414.55
12.445,40.390,-10.91,0.68,430.78
12.445,40.398,-11.15,0.69,459.17
12.445,40.406,-10.18,0.75,480.00
12.445,40.415,-9.44,0.62,433.93
12.445,40.422,-8.27,0.47,426.79
12.445,40.430,-1.65,0.49,425.29
12.445,40.439,9.87,0.79,427.18
12.445,40.446,15.94,0.82,423.93
12.445,40.454,18.81,0.81,432.20
12.445,40.462,22.73,0.82,425.39
12.445,40.470,28.39,0.83,403.74
12.445,40.479,34.20,0.83,404.15
12.445,40.486,39.84,0.82,389.57
12.445,40.494,45.71,0.81,385.81
12.445,40.503,51.20,0.81,386.32
12.445,40.510,61.47,0.78,396.91
12.445,40.518,71.09,0.83,392.84
12.445,40.526,77.28,0.85,389.74
12.445,40.534,82.00,0.85,381.20
12.445,40.543,85.89,0.86,381.20
12.445,40.550,86.60,0.86,384.61
12.445,40.558,85.12,0.83,392.62
12.445,40.567,85.41,0.78,427.26
12.445,40.574,99.38,0.80,426.89
12.445,40.582,111.28,0.82,433.61
12.445,40.590,121.24,0.83,435.90
12.445,40.598,125.86,0.86,428.24
12.445,40.607,128.05,0.85,399.25
12.445,40.614,131.34,0.84,394.99
12.445,40.622,134.02,0.82,385.17
12.445,40.631,140.36,0.71,380.17
12.445,40.638,148.64,0.70,406.40
12.445,40.646,152.89,0.68,393.62
12.445,40.654,154.85,0.80,396.00
12.445,40.662,158.71,0.78,409.33
12.452,40.302,-71.35,0.77,434.75
12.452,40.311,-69.74,0.75,427.85
12.452,40.318,-59.28,0.82,441.01
12.452,40.326,-46.12,0.84,451.73
12.452,40.334,-36.82,0.81,433.61
12.452,40.342,-33.96,0.78,407.64
12.452,40.351,-29.85,0.44,391.64
12.452,40.358,-21.95,0.38,393.30
12.452,40.366,-17.66,0.51,399.36
12.452,40.375,-15.83,0.59,408.70
12.452,40.382,-14.14,0.65,417.06
12.452,40.390,-13.47,0.69,429.88
12.452,40.398,-11.03,0.69,451.79
12.452,40.406,-10.32,0.68,448.65
12.452,40.415,-8.71,0.71,435.90
12.452,40.422,-6.88,0.49,436.70
12.452,40.430,-0.89,0.38,422.72
12.452,40.439,12.20,0.80,434.44
12.452,40.446,17.75,0.80,415.99
12.452,40.454,21.42,0.81,402.56
12.452,40.462,24.83,0.82,391.31
12.452,40.470,30.03,0.82,386.25
12.452,40.479,39.13,0.82,373.99
12.452,40.486,45.87,0.81,375.29
12.452,40.494,50.90,0.81,374.97
12.452,40.503,57.35,0.80,397.17
12.452,40.510,65.89,0.80,389.57
12.452,40.518,75.11,0.82,404.59
12.452,40.526,82.80,0.84,388.64
12.452,40.534,86.23,0.84,386.12
12.452,40.543,88.26,0.84,380.68
12.452,40.550,89.02,0.84,384.25
12.452,40.558,88.10,0.83,393.25
12.452,40.567,96.84,0.76,425.94
12.452,40.574,107.29,0.81,432.05
12.452,40.582,117.03,0.81,424.32
12.452,40.590,122.02,0.81,421.72
12.452,40.598,122.67,0.84,416.95
12.452,40.607,124.00,0.86,398.49
12.452,40.614,126.43,0.79,381.16
12.452,40.622,131.72,0.76,381.48
12.452,40.631,139.38,0.77,390.23
12.452,40.638,145.90,0.69,400.61
12.452,40.646,147.39,0.55,394.84
12.452,40.654,148.55,0.59,389.04
12.452,40.662,154.26,0.72,389.87
12.461,40.302,-69.83,0.80,390.43
12.461,40.311,-66.53,0.70,398.59
12.461,40.318,-56.57,0.83,405.42
12.461,40.326,-45.21,0.82,411.72
12.461,40.334,-38.82,0.79,391.12
12.461,40.342,-37.43,0.62,391.40
12.461,40.351,-30.21,0.45,386.07
12.461,40.358,-25.73,0.62,388.31
12.461,40.366,-20.32,0.74,396.17
12.461,40.375,-14.96,0.72,404.49
12.461,40.382,-14.09,0.69,414.90
12.461,40.390,-12.14,0.75,422.62
12.461,40.398,-10.06,0.78,433.44
12.461,40.406,-6.88,0.83,440.36
12.461,40.415,-4.17,0.83,432.83
12.461,40.422,-0.25,0.72,442.43
12.461,40.430,5.22,0.59,416.54
12.461,40.439,15.52,0.78,417.01
12.461,40.446,19.54,0.79,405.96
12.461,40.454,21.82,0.81,396.20
12.461,40.462,24.47,0.82,379.11
12.461,40.470,28.94,0.77,371.31
12.461,40.479,40.64,0.80,364.16
12.461,40.486,51.39,0.80,371.93
12.461,40.494,56.62,0.80,370.87
